3020	34.6533637117
3200	34.9978350481
3340	35.242989641
3700	35.8560929422
3820	35.9120381945
4140	36.1631865336
4220	36.2650904011
4620	36.5484189752
4640	36.5502147379
4900	36.879973899
4940	36.9445702641
5140	37.1703771224
5220	37.1737505384
5300	37.1364761004
5420	37.3668425144
5680	37.6733265677
5800	37.8158252298
6100	38.1099722061
6160	38.1306357855
6180	38.1123968339
6220	38.1936565816
6280	38.2254662506
6420	38.2901322943
6480	38.2500437002
6840	38.6393045091
7040	38.7146710641
7300	39.0238544116
7580	39.2445573906
7960	39.776601126
8100	39.9347860583
8200	40.0455470081
8840	40.9032818723
9760	41.9870959924
10300	42.6305706848
10780	43.3033474471
11200	43.6930923107
11620	44.2642184128
12400	45.3752970613
12440	45.4088262799
12500	45.4137106069
12540	45.4136837506
12560	45.4185031598
12620	45.4092965792
12660	45.4157754994
12720	45.4277164135
12800	45.4449968252
12840	45.4345065435
12880	45.4370846822
12920	45.4467400055
13000	45.4506913314
13060	45.4496826525
13080	45.4531380752
13140	45.4518511799
13180	45.4533813421
13220	45.4561182954
13260	45.4487485012
13420	45.457746361
13460	45.4669002688
13480	45.4664939218
13600	45.4702592077
13620	45.4705563019
13760	45.4774361903
13800	45.4801334994
13840	45.4797043013
13860	45.4807514056
13940	45.4824449737
