33.0399765928	-8.52791746776	-130.005074093	29.0	11.0	252.0
44.8949581272	15.5128678206	44.4012127098	123.0	105.0	23.0
35.0523504537	74.5338249231	-29.0942726241	160.0	0.0	108.0
62.4809096913	-52.8279543224	65.9812845236	45.0	174.0	54.0
85.4364147343	-27.445433125	30.8606285009	172.0	227.0	179.0
32.6435224651	28.2391293987	-81.6831594214	127.0	0.0	169.0
19.2189298346	59.9606699153	10.9978990899	100.0	2.0	12.0
77.5496326169	44.5790231805	31.8421611629	241.0	178.0	144.0
83.5338230659	5.04309353408	-0.918683890369	215.0	206.0	209.0
47.0806590256	76.5996036574	42.8775195541	178.0	86.0	0.0
44.9901887071	108.50940626	10.5295027194	199.0	45.0	77.0
84.5416458343	-22.6054588758	-37.0232624756	173.0	216.0	255.0
55.9660897508	47.7973063775	-115.483817661	208.0	60.0	255.0
47.8257235325	151.039365633	26.4053876302	228.0	2.0	43.0
86.6299954719	-72.8780043338	32.7468371756	0.0	246.0	186.0
84.0718335587	-74.0320398578	99.9425560259	58.0	242.0	30.0
39.46807641	-26.2717623231	-32.0523586379	14.0	100.0	131.0
71.8038705211	74.0786459742	-2.29911103787	255.0	142.0	170.0
62.8118273246	50.1447315118	-55.6168826488	216.0	115.0	208.0
33.2555132086	-16.9058455839	-76.156575547	0.0	74.0	166.0
